,Episodes,Avg_rewards,alpha,gamma,epsilon
529,5291,154.3,0.6,0.99,0.1
530,5301,127.6,0.6,0.99,0.1
531,5311,235.6,0.6,0.99,0.1
532,5321,212.0,0.6,0.99,0.1
533,5331,127.1,0.6,0.99,0.1
534,5341,129.9,0.6,0.99,0.1
535,5351,228.3,0.6,0.99,0.1
536,5361,107.7,0.6,0.99,0.1
537,5371,156.8,0.6,0.99,0.1
538,5381,196.1,0.6,0.99,0.1
539,5391,137.3,0.6,0.99,0.1
540,5401,90.7,0.6,0.99,0.1
541,5411,153.8,0.6,0.99,0.1
542,5421,141.8,0.6,0.99,0.1
543,5431,114.8,0.6,0.99,0.1
544,5441,88.4,0.6,0.99,0.1
545,5451,110.2,0.6,0.99,0.1
546,5461,128.7,0.6,0.99,0.1
547,5471,76.2,0.6,0.99,0.1
548,5481,83.2,0.6,0.99,0.1
549,5491,115.2,0.6,0.99,0.1
550,5501,72.7,0.6,0.99,0.1
551,5511,64.7,0.6,0.99,0.1
552,5521,136.6,0.6,0.99,0.1
553,5531,142.7,0.6,0.99,0.1
554,5541,105.2,0.6,0.99,0.1
555,5551,127.6,0.6,0.99,0.1
556,5561,130.0,0.6,0.99,0.1
557,5571,152.3,0.6,0.99,0.1
558,5581,119.1,0.6,0.99,0.1
559,5591,58.6,0.6,0.99,0.1
560,5601,173.2,0.6,0.99,0.1
561,5611,79.8,0.6,0.99,0.1
562,5621,95.2,0.6,0.99,0.1
563,5631,89.1,0.6,0.99,0.1
564,5641,92.1,0.6,0.99,0.1
565,5651,62.6,0.6,0.99,0.1
566,5661,51.1,0.6,0.99,0.1
567,5671,60.2,0.6,0.99,0.1
568,5681,93.4,0.6,0.99,0.1
569,5691,57.7,0.6,0.99,0.1
570,5701,118.0,0.6,0.99,0.1
571,5711,165.9,0.6,0.99,0.1
572,5721,68.5,0.6,0.99,0.1
573,5731,113.0,0.6,0.99,0.1
574,5741,64.7,0.6,0.99,0.1
575,5751,132.9,0.6,0.99,0.1
576,5761,79.9,0.6,0.99,0.1
577,5771,93.7,0.6,0.99,0.1
578,5781,100.7,0.6,0.99,0.1
579,5791,100.2,0.6,0.99,0.1
580,5801,80.2,0.6,0.99,0.1
581,5811,76.2,0.6,0.99,0.1
582,5821,115.4,0.6,0.99,0.1
583,5831,60.6,0.6,0.99,0.1
584,5841,78.9,0.6,0.99,0.1
585,5851,82.9,0.6,0.99,0.1
586,5861,86.3,0.6,0.99,0.1
587,5871,147.0,0.6,0.99,0.1
588,5881,172.9,0.6,0.99,0.1
589,5891,109.6,0.6,0.99,0.1
590,5901,159.8,0.6,0.99,0.1
591,5911,168.6,0.6,0.99,0.1
592,5921,129.1,0.6,0.99,0.1
593,5931,70.7,0.6,0.99,0.1
594,5941,106.4,0.6,0.99,0.1
595,5951,121.1,0.6,0.99,0.1
596,5961,115.4,0.6,0.99,0.1
597,5971,147.0,0.6,0.99,0.1
598,5981,76.5,0.6,0.99,0.1
599,5991,90.3,0.6,0.99,0.1
600,6001,132.5,0.6,0.99,0.1
601,6011,126.8,0.6,0.99,0.1
602,6021,174.5,0.6,0.99,0.1
603,6031,178.6,0.6,0.99,0.1
604,6041,158.1,0.6,0.99,0.1
605,6051,153.7,0.6,0.99,0.1
606,6061,120.2,0.6,0.99,0.1
607,6071,131.6,0.6,0.99,0.1
608,6081,52.0,0.6,0.99,0.1
609,6091,107.3,0.6,0.99,0.1
610,6101,87.3,0.6,0.99,0.1
611,6111,60.5,0.6,0.99,0.1
612,6121,122.6,0.6,0.99,0.1
613,6131,85.0,0.6,0.99,0.1
614,6141,67.9,0.6,0.99,0.1
615,6151,223.5,0.6,0.99,0.1
616,6161,90.9,0.6,0.99,0.1
617,6171,97.1,0.6,0.99,0.1
618,6181,131.4,0.6,0.99,0.1
619,6191,91.9,0.6,0.99,0.1
620,6201,99.2,0.6,0.99,0.1
621,6211,111.7,0.6,0.99,0.1
622,6221,111.7,0.6,0.99,0.1
623,6231,126.0,0.6,0.99,0.1
624,6241,129.2,0.6,0.99,0.1
625,6251,138.5,0.6,0.99,0.1
626,6261,156.9,0.6,0.99,0.1
627,6271,149.8,0.6,0.99,0.1
628,6281,141.7,0.6,0.99,0.1
629,6291,175.1,0.6,0.99,0.1
630,6301,60.6,0.6,0.99,0.1
631,6311,123.4,0.6,0.99,0.1
632,6321,105.3,0.6,0.99,0.1
633,6331,98.9,0.6,0.99,0.1
634,6341,131.9,0.6,0.99,0.1
635,6351,87.8,0.6,0.99,0.1
636,6361,172.0,0.6,0.99,0.1
637,6371,104.7,0.6,0.99,0.1
638,6381,133.2,0.6,0.99,0.1
639,6391,54.6,0.6,0.99,0.1
640,6401,105.9,0.6,0.99,0.1
641,6411,64.7,0.6,0.99,0.1
642,6421,75.0,0.6,0.99,0.1
643,6431,70.6,0.6,0.99,0.1
644,6441,75.2,0.6,0.99,0.1
645,6451,67.9,0.6,0.99,0.1
646,6461,124.7,0.6,0.99,0.1
647,6471,118.3,0.6,0.99,0.1
648,6481,109.3,0.6,0.99,0.1
649,6491,62.1,0.6,0.99,0.1
650,6501,123.2,0.6,0.99,0.1
651,6511,85.7,0.6,0.99,0.1
652,6521,73.4,0.6,0.99,0.1
653,6531,161.7,0.6,0.99,0.1
654,6541,66.3,0.6,0.99,0.1
655,6551,92.0,0.6,0.99,0.1
656,6561,136.9,0.6,0.99,0.1
657,6571,97.7,0.6,0.99,0.1
658,6581,135.2,0.6,0.99,0.1
659,6591,72.4,0.6,0.99,0.1
660,6601,112.3,0.6,0.99,0.1
661,6611,103.1,0.6,0.99,0.1
662,6621,67.4,0.6,0.99,0.1
663,6631,106.6,0.6,0.99,0.1
