,Episodes,Avg_rewards,alpha,gamma,epsilon
414,4141,185.1,0.6,0.99,0.1
415,4151,212.5,0.6,0.99,0.1
416,4161,156.8,0.6,0.99,0.1
417,4171,124.9,0.6,0.99,0.1
418,4181,120.4,0.6,0.99,0.1
419,4191,230.2,0.6,0.99,0.1
420,4201,154.8,0.6,0.99,0.1
421,4211,134.6,0.6,0.99,0.1
422,4221,200.2,0.6,0.99,0.1
423,4231,169.9,0.6,0.99,0.1
424,4241,125.8,0.6,0.99,0.1
425,4251,238.9,0.6,0.99,0.1
426,4261,138.4,0.6,0.99,0.1
427,4271,182.1,0.6,0.99,0.1
428,4281,212.2,0.6,0.99,0.1
429,4291,128.2,0.6,0.99,0.1
430,4301,134.7,0.6,0.99,0.1
431,4311,145.7,0.6,0.99,0.1
432,4321,182.9,0.6,0.99,0.1
433,4331,184.3,0.6,0.99,0.1
434,4341,191.2,0.6,0.99,0.1
435,4351,182.5,0.6,0.99,0.1
436,4361,225.6,0.6,0.99,0.1
437,4371,218.4,0.6,0.99,0.1
438,4381,202.5,0.6,0.99,0.1
439,4391,158.1,0.6,0.99,0.1
440,4401,144.2,0.6,0.99,0.1
441,4411,178.8,0.6,0.99,0.1
442,4421,198.5,0.6,0.99,0.1
443,4431,165.8,0.6,0.99,0.1
444,4441,166.6,0.6,0.99,0.1
445,4451,120.2,0.6,0.99,0.1
446,4461,108.5,0.6,0.99,0.1
447,4471,184.9,0.6,0.99,0.1
448,4481,109.2,0.6,0.99,0.1
449,4491,114.3,0.6,0.99,0.1
450,4501,129.0,0.6,0.99,0.1
451,4511,128.5,0.6,0.99,0.1
452,4521,78.9,0.6,0.99,0.1
453,4531,259.8,0.6,0.99,0.1
454,4541,164.0,0.6,0.99,0.1
455,4551,271.3,0.6,0.99,0.1
456,4561,211.9,0.6,0.99,0.1
457,4571,211.7,0.6,0.99,0.1
458,4581,147.6,0.6,0.99,0.1
459,4591,236.6,0.6,0.99,0.1
460,4601,175.6,0.6,0.99,0.1
461,4611,141.9,0.6,0.99,0.1
462,4621,160.5,0.6,0.99,0.1
463,4631,131.7,0.6,0.99,0.1
464,4641,223.0,0.6,0.99,0.1
465,4651,151.0,0.6,0.99,0.1
466,4661,263.2,0.6,0.99,0.1
467,4671,232.5,0.6,0.99,0.1
468,4681,173.3,0.6,0.99,0.1
469,4691,231.7,0.6,0.99,0.1
470,4701,161.6,0.6,0.99,0.1
471,4711,199.2,0.6,0.99,0.1
472,4721,169.4,0.6,0.99,0.1
473,4731,218.4,0.6,0.99,0.1
474,4741,231.3,0.6,0.99,0.1
475,4751,261.3,0.6,0.99,0.1
476,4761,205.6,0.6,0.99,0.1
477,4771,198.0,0.6,0.99,0.1
478,4781,91.6,0.6,0.99,0.1
479,4791,175.5,0.6,0.99,0.1
480,4801,290.0,0.6,0.99,0.1
481,4811,209.6,0.6,0.99,0.1
482,4821,192.1,0.6,0.99,0.1
483,4831,183.3,0.6,0.99,0.1
484,4841,229.6,0.6,0.99,0.1
485,4851,117.0,0.6,0.99,0.1
486,4861,246.6,0.6,0.99,0.1
487,4871,145.1,0.6,0.99,0.1
488,4881,242.2,0.6,0.99,0.1
489,4891,203.9,0.6,0.99,0.1
490,4901,248.5,0.6,0.99,0.1
491,4911,252.1,0.6,0.99,0.1
492,4921,178.5,0.6,0.99,0.1
493,4931,190.1,0.6,0.99,0.1
494,4941,259.1,0.6,0.99,0.1
495,4951,283.7,0.6,0.99,0.1
496,4961,162.1,0.6,0.99,0.1
497,4971,279.1,0.6,0.99,0.1
498,4981,232.4,0.6,0.99,0.1
499,4991,197.5,0.6,0.99,0.1
500,5001,130.4,0.6,0.99,0.1
501,5011,140.5,0.6,0.99,0.1
502,5021,178.7,0.6,0.99,0.1
503,5031,163.4,0.6,0.99,0.1
504,5041,343.6,0.6,0.99,0.1
505,5051,214.7,0.6,0.99,0.1
506,5061,226.9,0.6,0.99,0.1
507,5071,186.2,0.6,0.99,0.1
508,5081,103.3,0.6,0.99,0.1
509,5091,202.9,0.6,0.99,0.1
510,5101,227.0,0.6,0.99,0.1
511,5111,201.6,0.6,0.99,0.1
512,5121,180.8,0.6,0.99,0.1
513,5131,191.0,0.6,0.99,0.1
514,5141,178.5,0.6,0.99,0.1
515,5151,208.2,0.6,0.99,0.1
516,5161,198.7,0.6,0.99,0.1
517,5171,275.4,0.6,0.99,0.1
518,5181,131.3,0.6,0.99,0.1
519,5191,237.4,0.6,0.99,0.1
520,5201,174.7,0.6,0.99,0.1
521,5211,119.8,0.6,0.99,0.1
522,5221,230.1,0.6,0.99,0.1
523,5231,299.7,0.6,0.99,0.1
524,5241,240.9,0.6,0.99,0.1
525,5251,293.4,0.6,0.99,0.1
526,5261,202.2,0.6,0.99,0.1
527,5271,206.7,0.6,0.99,0.1
528,5281,238.3,0.6,0.99,0.1
529,5291,303.3,0.6,0.99,0.1
530,5301,262.6,0.6,0.99,0.1
531,5311,186.6,0.6,0.99,0.1
532,5321,147.8,0.6,0.99,0.1
533,5331,121.3,0.6,0.99,0.1
534,5341,168.0,0.6,0.99,0.1
535,5351,177.0,0.6,0.99,0.1
536,5361,154.0,0.6,0.99,0.1
537,5371,179.5,0.6,0.99,0.1
538,5381,153.4,0.6,0.99,0.1
539,5391,164.9,0.6,0.99,0.1
540,5401,179.3,0.6,0.99,0.1
541,5411,201.4,0.6,0.99,0.1
542,5421,284.9,0.6,0.99,0.1
543,5431,237.1,0.6,0.99,0.1
544,5441,204.4,0.6,0.99,0.1
545,5451,158.8,0.6,0.99,0.1
546,5461,176.7,0.6,0.99,0.1
547,5471,225.8,0.6,0.99,0.1
548,5481,216.5,0.6,0.99,0.1
549,5491,242.0,0.6,0.99,0.1
550,5501,210.7,0.6,0.99,0.1
551,5511,125.3,0.6,0.99,0.1
552,5521,221.8,0.6,0.99,0.1
553,5531,252.6,0.6,0.99,0.1
554,5541,287.0,0.6,0.99,0.1
555,5551,251.4,0.6,0.99,0.1
556,5561,237.8,0.6,0.99,0.1
557,5571,202.3,0.6,0.99,0.1
558,5581,165.7,0.6,0.99,0.1
559,5591,218.7,0.6,0.99,0.1
560,5601,157.5,0.6,0.99,0.1
561,5611,114.7,0.6,0.99,0.1
562,5621,108.4,0.6,0.99,0.1
563,5631,183.3,0.6,0.99,0.1
564,5641,174.0,0.6,0.99,0.1
565,5651,184.1,0.6,0.99,0.1
566,5661,157.9,0.6,0.99,0.1
567,5671,191.4,0.6,0.99,0.1
568,5681,143.2,0.6,0.99,0.1
569,5691,114.5,0.6,0.99,0.1
570,5701,76.9,0.6,0.99,0.1
571,5711,122.5,0.6,0.99,0.1
572,5721,156.2,0.6,0.99,0.1
573,5731,104.0,0.6,0.99,0.1
574,5741,132.3,0.6,0.99,0.1
575,5751,159.5,0.6,0.99,0.1
576,5761,135.8,0.6,0.99,0.1
577,5771,118.2,0.6,0.99,0.1
578,5781,105.7,0.6,0.99,0.1
579,5791,144.8,0.6,0.99,0.1
580,5801,140.1,0.6,0.99,0.1
581,5811,118.3,0.6,0.99,0.1
582,5821,152.7,0.6,0.99,0.1
583,5831,209.1,0.6,0.99,0.1
584,5841,172.1,0.6,0.99,0.1
585,5851,204.7,0.6,0.99,0.1
586,5861,205.1,0.6,0.99,0.1
587,5871,170.4,0.6,0.99,0.1
588,5881,188.0,0.6,0.99,0.1
589,5891,201.3,0.6,0.99,0.1
590,5901,153.4,0.6,0.99,0.1
591,5911,175.7,0.6,0.99,0.1
592,5921,164.2,0.6,0.99,0.1
593,5931,177.4,0.6,0.99,0.1
594,5941,186.4,0.6,0.99,0.1
595,5951,137.6,0.6,0.99,0.1
596,5961,172.8,0.6,0.99,0.1
597,5971,192.9,0.6,0.99,0.1
598,5981,143.1,0.6,0.99,0.1
599,5991,206.0,0.6,0.99,0.1
600,6001,149.7,0.6,0.99,0.1
601,6011,195.7,0.6,0.99,0.1
602,6021,182.4,0.6,0.99,0.1
603,6031,159.8,0.6,0.99,0.1
604,6041,190.2,0.6,0.99,0.1
605,6051,170.1,0.6,0.99,0.1
606,6061,121.5,0.6,0.99,0.1
607,6071,166.2,0.6,0.99,0.1
608,6081,205.0,0.6,0.99,0.1
609,6091,284.9,0.6,0.99,0.1
610,6101,186.6,0.6,0.99,0.1
611,6111,143.9,0.6,0.99,0.1
612,6121,209.7,0.6,0.99,0.1
613,6131,121.0,0.6,0.99,0.1
614,6141,216.0,0.6,0.99,0.1
615,6151,185.5,0.6,0.99,0.1
616,6161,186.5,0.6,0.99,0.1
617,6171,160.1,0.6,0.99,0.1
618,6181,264.3,0.6,0.99,0.1
619,6191,206.7,0.6,0.99,0.1
620,6201,258.9,0.6,0.99,0.1
621,6211,232.4,0.6,0.99,0.1
622,6221,154.4,0.6,0.99,0.1
623,6231,221.9,0.6,0.99,0.1
624,6241,281.6,0.6,0.99,0.1
625,6251,209.9,0.6,0.99,0.1
626,6261,230.5,0.6,0.99,0.1
627,6271,241.3,0.6,0.99,0.1
628,6281,188.9,0.6,0.99,0.1
629,6291,142.3,0.6,0.99,0.1
630,6301,153.6,0.6,0.99,0.1
631,6311,159.0,0.6,0.99,0.1
632,6321,171.0,0.6,0.99,0.1
633,6331,129.9,0.6,0.99,0.1
634,6341,119.1,0.6,0.99,0.1
635,6351,135.6,0.6,0.99,0.1
636,6361,204.3,0.6,0.99,0.1
637,6371,167.8,0.6,0.99,0.1
638,6381,121.5,0.6,0.99,0.1
639,6391,168.2,0.6,0.99,0.1
640,6401,203.2,0.6,0.99,0.1
641,6411,203.1,0.6,0.99,0.1
642,6421,114.3,0.6,0.99,0.1
643,6431,127.0,0.6,0.99,0.1
644,6441,182.7,0.6,0.99,0.1
645,6451,134.9,0.6,0.99,0.1
646,6461,88.8,0.6,0.99,0.1
647,6471,121.7,0.6,0.99,0.1
648,6481,177.0,0.6,0.99,0.1
649,6491,173.0,0.6,0.99,0.1
650,6501,151.3,0.6,0.99,0.1
651,6511,187.6,0.6,0.99,0.1
652,6521,235.5,0.6,0.99,0.1
653,6531,180.4,0.6,0.99,0.1
654,6541,333.3,0.6,0.99,0.1
655,6551,255.3,0.6,0.99,0.1
656,6561,200.3,0.6,0.99,0.1
657,6571,202.0,0.6,0.99,0.1
658,6581,136.2,0.6,0.99,0.1
